subject,hemisphere,dataType,label,dice
000,right,NoDenoising,all,0.647344
000,right,NoDenoising,1,0.748488
000,right,NoDenoising,2,0.208333
000,right,NoDenoising,3,0.796791
000,right,NoDenoising,4,0.49
000,right,NoDenoising,8,0.683459
000,right,NoDenoising,9,0.648034
000,right,NoDenoising,11,0.56016
000,right,NoDenoising,12,0.506019
001,right,NoDenoising,all,0.703895
001,right,NoDenoising,1,0.692272
001,right,NoDenoising,2,0
001,right,NoDenoising,3,0.716262
001,right,NoDenoising,4,0.57764
001,right,NoDenoising,8,0.662368
001,right,NoDenoising,9,0.808911
001,right,NoDenoising,11,0.773956
001,right,NoDenoising,12,0.66848
002,right,NoDenoising,all,0.620087
002,right,NoDenoising,1,0.603292
002,right,NoDenoising,2,0.150685
002,right,NoDenoising,3,0.661436
002,right,NoDenoising,4,0.12766
002,right,NoDenoising,8,0.521949
002,right,NoDenoising,9,0.642102
002,right,NoDenoising,11,0.525319
002,right,NoDenoising,12,0.677592
003,right,NoDenoising,all,0.569937
003,right,NoDenoising,1,0.542639
003,right,NoDenoising,2,0.144928
003,right,NoDenoising,3,0.582712
003,right,NoDenoising,4,0.237209
003,right,NoDenoising,8,0.285425
003,right,NoDenoising,9,0.545152
003,right,NoDenoising,11,0.461279
003,right,NoDenoising,12,0.706867
004,right,NoDenoising,all,0.695327
004,right,NoDenoising,1,0.731513
004,right,NoDenoising,2,0
004,right,NoDenoising,3,0.748544
004,right,NoDenoising,4,0.261224
004,right,NoDenoising,8,0.670911
004,right,NoDenoising,9,0.696102
004,right,NoDenoising,11,0.60161
004,right,NoDenoising,12,0.70131
005,right,NoDenoising,all,0.548337
005,right,NoDenoising,1,0.585529
005,right,NoDenoising,2,0
005,right,NoDenoising,3,0.672344
005,right,NoDenoising,4,0.328859
005,right,NoDenoising,8,0.385154
005,right,NoDenoising,9,0.474227
005,right,NoDenoising,11,0.41029
005,right,NoDenoising,12,0.569817
006,right,NoDenoising,all,0.483882
006,right,NoDenoising,1,0.620234
006,right,NoDenoising,2,0
006,right,NoDenoising,3,0.657923
006,right,NoDenoising,4,0.104046
006,right,NoDenoising,8,0.657238
006,right,NoDenoising,9,0.608586
006,right,NoDenoising,11,0.44733
006,right,NoDenoising,12,0.231683
007,right,NoDenoising,all,0.52869
007,right,NoDenoising,1,0.617156
007,right,NoDenoising,2,0.38
007,right,NoDenoising,3,0.701433
007,right,NoDenoising,4,0.325581
007,right,NoDenoising,8,0.597278
007,right,NoDenoising,9,0.52361
007,right,NoDenoising,11,0.295057
007,right,NoDenoising,12,0.389409
008,right,NoDenoising,all,0.560816
008,right,NoDenoising,1,0.664116
008,right,NoDenoising,2,0.0481928
008,right,NoDenoising,3,0.739076
008,right,NoDenoising,4,0.514493
008,right,NoDenoising,8,0.602425
008,right,NoDenoising,9,0.59733
008,right,NoDenoising,11,0.37415
008,right,NoDenoising,12,0.38292
009,right,NoDenoising,all,0.542437
009,right,NoDenoising,1,0.597433
009,right,NoDenoising,2,0.0307692
009,right,NoDenoising,3,0.667408
009,right,NoDenoising,4,0.237762
009,right,NoDenoising,8,0.432
009,right,NoDenoising,9,0.608555
009,right,NoDenoising,11,0.232659
009,right,NoDenoising,12,0.49777
010,right,NoDenoising,all,0.567402
010,right,NoDenoising,1,0.645182
010,right,NoDenoising,2,0.0909091
010,right,NoDenoising,3,0.693741
010,right,NoDenoising,4,0.389706
010,right,NoDenoising,8,0.581493
010,right,NoDenoising,9,0.541156
010,right,NoDenoising,11,0.377924
010,right,NoDenoising,12,0.479568
011,right,NoDenoising,all,0.621195
011,right,NoDenoising,1,0.691458
011,right,NoDenoising,2,0.253521
011,right,NoDenoising,3,0.73293
011,right,NoDenoising,4,0.361905
011,right,NoDenoising,8,0.613779
011,right,NoDenoising,9,0.54872
011,right,NoDenoising,11,0.40562
011,right,NoDenoising,12,0.589421
012,right,NoDenoising,all,0.560262
012,right,NoDenoising,1,0.5959
012,right,NoDenoising,2,0.216216
012,right,NoDenoising,3,0.684861
012,right,NoDenoising,4,0.344
012,right,NoDenoising,8,0.64682
012,right,NoDenoising,9,0.657621
012,right,NoDenoising,11,0.414608
012,right,NoDenoising,12,0.466657
013,right,NoDenoising,all,0.604985
013,right,NoDenoising,1,0.568463
