subject,hemisphere,dataType,label,dice
000,right,NoDenoising,all,0.682462
000,right,NoDenoising,1,0.756167
000,right,NoDenoising,2,0.339623
000,right,NoDenoising,3,0.807519
000,right,NoDenoising,4,0.492891
000,right,NoDenoising,8,0.697068
000,right,NoDenoising,9,0.694718
000,right,NoDenoising,11,0.610726
000,right,NoDenoising,12,0.579891
001,right,NoDenoising,all,0.73529
001,right,NoDenoising,1,0.737443
001,right,NoDenoising,2,0.0533333
001,right,NoDenoising,3,0.777669
001,right,NoDenoising,4,0.563607
001,right,NoDenoising,8,0.652045
001,right,NoDenoising,9,0.818646
001,right,NoDenoising,11,0.793448
001,right,NoDenoising,12,0.697967
002,right,NoDenoising,all,0.641173
002,right,NoDenoising,1,0.61915
002,right,NoDenoising,2,0.136986
002,right,NoDenoising,3,0.682824
002,right,NoDenoising,4,0.198083
002,right,NoDenoising,8,0.536183
002,right,NoDenoising,9,0.711138
002,right,NoDenoising,11,0.612792
002,right,NoDenoising,12,0.668446
003,right,NoDenoising,all,0.599681
003,right,NoDenoising,1,0.562009
003,right,NoDenoising,2,0.168675
003,right,NoDenoising,3,0.597391
003,right,NoDenoising,4,0.241299
003,right,NoDenoising,8,0.322772
003,right,NoDenoising,9,0.590909
003,right,NoDenoising,11,0.488372
003,right,NoDenoising,12,0.746011
004,right,NoDenoising,all,0.72659
004,right,NoDenoising,1,0.745197
004,right,NoDenoising,2,0.0759494
004,right,NoDenoising,3,0.772481
004,right,NoDenoising,4,0.346715
004,right,NoDenoising,8,0.692051
004,right,NoDenoising,9,0.730961
004,right,NoDenoising,11,0.616641
004,right,NoDenoising,12,0.756081
005,right,NoDenoising,all,0.602421
005,right,NoDenoising,1,0.622421
005,right,NoDenoising,2,0.25
005,right,NoDenoising,3,0.684717
005,right,NoDenoising,4,0.493225
005,right,NoDenoising,8,0.400543
005,right,NoDenoising,9,0.527982
005,right,NoDenoising,11,0.57213
005,right,NoDenoising,12,0.632639
006,right,NoDenoising,all,0.531708
006,right,NoDenoising,1,0.67949
006,right,NoDenoising,2,0
006,right,NoDenoising,3,0.694792
006,right,NoDenoising,4,0.111732
006,right,NoDenoising,8,0.694079
006,right,NoDenoising,9,0.62069
006,right,NoDenoising,11,0.514247
006,right,NoDenoising,12,0.301555
007,right,NoDenoising,all,0.584304
007,right,NoDenoising,1,0.643332
007,right,NoDenoising,2,0.30303
007,right,NoDenoising,3,0.726825
007,right,NoDenoising,4,0.329032
007,right,NoDenoising,8,0.611155
007,right,NoDenoising,9,0.570069
007,right,NoDenoising,11,0.443409
007,right,NoDenoising,12,0.493873
008,right,NoDenoising,all,0.625955
008,right,NoDenoising,1,0.689811
008,right,NoDenoising,2,0.142857
008,right,NoDenoising,3,0.751463
008,right,NoDenoising,4,0.479167
008,right,NoDenoising,8,0.64259
008,right,NoDenoising,9,0.670202
008,right,NoDenoising,11,0.518804
008,right,NoDenoising,12,0.516804
009,right,NoDenoising,all,0.582321
009,right,NoDenoising,1,0.613005
009,right,NoDenoising,2,0.030303
009,right,NoDenoising,3,0.677005
009,right,NoDenoising,4,0.29434
009,right,NoDenoising,8,0.448507
009,right,NoDenoising,9,0.676344
009,right,NoDenoising,11,0.403101
009,right,NoDenoising,12,0.548112
010,right,NoDenoising,all,0.625345
010,right,NoDenoising,1,0.702525
010,right,NoDenoising,2,0.15873
010,right,NoDenoising,3,0.745908
010,right,NoDenoising,4,0.378182
010,right,NoDenoising,8,0.633858
010,right,NoDenoising,9,0.566099
010,right,NoDenoising,11,0.45319
010,right,NoDenoising,12,0.553218
011,right,NoDenoising,all,0.674916
011,right,NoDenoising,1,0.712129
011,right,NoDenoising,2,0.359551
011,right,NoDenoising,3,0.752127
011,right,NoDenoising,4,0.362791
011,right,NoDenoising,8,0.637988
011,right,NoDenoising,9,0.638739
011,right,NoDenoising,11,0.501351
011,right,NoDenoising,12,0.687994
012,right,NoDenoising,all,0.624816
012,right,NoDenoising,1,0.658369
012,right,NoDenoising,2,0.365079
012,right,NoDenoising,3,0.724882
012,right,NoDenoising,4,0.435606
012,right,NoDenoising,8,0.662968
012,right,NoDenoising,9,0.688163
012,right,NoDenoising,11,0.521531
012,right,NoDenoising,12,0.559062
013,right,NoDenoising,all,0.637458
013,right,NoDenoising,1,0.578193
013,right,NoDenoising,2,0
013,right,NoDenoising,3,0.742296
013,right,NoDenoising,4,0.394595
013,right,NoDenoising,8,0.494
013,right,NoDenoising,9,0.55826
013,right,NoDenoising,11,0.614256
013,right,NoDenoising,12,0.71221
014,right,NoDenoising,all,0.557117
014,right,NoDenoising,1,0.649421
014,right,NoDenoising,2,0
014,right,NoDenoising,3,0.663444
014,right,NoDenoising,4,0.338028
014,right,NoDenoising,8,0.587537
014,right,NoDenoising,9,0.501595
014,right,NoDenoising,11,0.383113
014,right,NoDenoising,12,0.517262
015,right,NoDenoising,all,0.640713
015,right,NoDenoising,1,0.638955
