subject,hemisphere,dataType,label,dice
s1,right,NoDenoising,all,0.760011
s1,right,NoDenoising,14,0.773246
s1,right,NoDenoising,16,0.756257
s1,right,NoDenoising,18,0.754305
s10,right,NoDenoising,all,0.770824
s10,right,NoDenoising,14,0.75092
s10,right,NoDenoising,16,0.784425
s10,right,NoDenoising,18,0.760774
s11,right,NoDenoising,all,0.703427
s11,right,NoDenoising,14,0.695936
s11,right,NoDenoising,16,0.730604
s11,right,NoDenoising,18,0.639956
s12,right,NoDenoising,all,0.674435
s12,right,NoDenoising,14,0.675068
s12,right,NoDenoising,16,0.697956
s12,right,NoDenoising,18,0.614414
s13,right,NoDenoising,all,0.775583
s13,right,NoDenoising,14,0.751943
s13,right,NoDenoising,16,0.786736
s13,right,NoDenoising,18,0.774405
s14,right,NoDenoising,all,0.771549
s14,right,NoDenoising,14,0.755821
s14,right,NoDenoising,16,0.786839
s14,right,NoDenoising,18,0.745089
s15,right,NoDenoising,all,0.758119
s15,right,NoDenoising,14,0.69432
s15,right,NoDenoising,16,0.784805
s15,right,NoDenoising,18,0.755779
s16,right,NoDenoising,all,0.749484
s16,right,NoDenoising,14,0.671614
s16,right,NoDenoising,16,0.776677
s16,right,NoDenoising,18,0.754595
s17,right,NoDenoising,all,0.686386
s17,right,NoDenoising,14,0.640204
s17,right,NoDenoising,16,0.699542
s17,right,NoDenoising,18,0.70405
s18,right,NoDenoising,all,0.759785
s18,right,NoDenoising,14,0.736163
s18,right,NoDenoising,16,0.772153
s18,right,NoDenoising,18,0.751236
s19,right,NoDenoising,all,0.783231
s19,right,NoDenoising,14,0.711963
s19,right,NoDenoising,16,0.797381
s19,right,NoDenoising,18,0.817638
s2,right,NoDenoising,all,0.736209
s2,right,NoDenoising,14,0.682622
s2,right,NoDenoising,16,0.750082
s2,right,NoDenoising,18,0.769231
s3,right,NoDenoising,all,0.77261
s3,right,NoDenoising,14,0.731106
s3,right,NoDenoising,16,0.778154
s3,right,NoDenoising,18,0.804348
s4,right,NoDenoising,all,0.726561
s4,right,NoDenoising,14,0.697191
s4,right,NoDenoising,16,0.740809
s4,right,NoDenoising,18,0.729067
s5,right,NoDenoising,all,0.760865
s5,right,NoDenoising,14,0.703431
s5,right,NoDenoising,16,0.779784
s5,right,NoDenoising,18,0.766979
s6,right,NoDenoising,all,0.725795
s6,right,NoDenoising,14,0.767953
s6,right,NoDenoising,16,0.730655
s6,right,NoDenoising,18,0.666221
s7,right,NoDenoising,all,0.776587
s7,right,NoDenoising,14,0.748715
s7,right,NoDenoising,16,0.79039
s7,right,NoDenoising,18,0.772118
s8,right,NoDenoising,all,0.741257
s8,right,NoDenoising,14,0.703648
s8,right,NoDenoising,16,0.763756
s8,right,NoDenoising,18,0.729182
s9,right,NoDenoising,all,0.756704
s9,right,NoDenoising,14,0.713812
s9,right,NoDenoising,16,0.774688
s9,right,NoDenoising,18,0.753204
s1,left,NoDenoising,all,0.707184
s1,left,NoDenoising,13,0.721363
s1,left,NoDenoising,15,0.718686
s1,left,NoDenoising,17,0.664837
s10,left,NoDenoising,all,0.788629
s10,left,NoDenoising,13,0.781123
s10,left,NoDenoising,15,0.794554
s10,left,NoDenoising,17,0.78145
s11,left,NoDenoising,all,0.719312
s11,left,NoDenoising,13,0.741586
s11,left,NoDenoising,15,0.746409
s11,left,NoDenoising,17,0.626343
s12,left,NoDenoising,all,0.699125
s12,left,NoDenoising,13,0.700576
s12,left,NoDenoising,15,0.724807
s12,left,NoDenoising,17,0.628454
s13,left,NoDenoising,all,0.7566
s13,left,NoDenoising,13,0.740791
s13,left,NoDenoising,15,0.776847
s13,left,NoDenoising,17,0.726515
s14,left,NoDenoising,all,0.816454
s14,left,NoDenoising,13,0.790433
s14,left,NoDenoising,15,0.82801
s14,left,NoDenoising,17,0.811505
s15,left,NoDenoising,all,0.767071
s15,left,NoDenoising,13,0.721157
s15,left,NoDenoising,15,0.785539
s15,left,NoDenoising,17,0.768398
s16,left,NoDenoising,all,0.805761
s16,left,NoDenoising,13,0.752916
s16,left,NoDenoising,15,0.828487
s16,left,NoDenoising,17,0.791787
s17,left,NoDenoising,all,0.694393
s17,left,NoDenoising,13,0.674378
s17,left,NoDenoising,15,0.703142
s17,left,NoDenoising,17,0.692982
s18,left,NoDenoising,all,0.744458
s18,left,NoDenoising,13,0.7401
s18,left,NoDenoising,15,0.768285
s18,left,NoDenoising,17,0.682845
s19,left,NoDenoising,all,0.794182
s19,left,NoDenoising,13,0.765737
s19,left,NoDenoising,15,0.804589
s19,left,NoDenoising,17,0.796254
s2,left,NoDenoising,all,0.712925
s2,left,NoDenoising,13,0.652562
s2,left,NoDenoising,15,0.729579
s2,left,NoDenoising,17,0.726854
s3,left,NoDenoising,all,0.780721
s3,left,NoDenoising,13,0.737945
s3,left,NoDenoising,15,0.78347
s3,left,NoDenoising,17,0.820181
s4,left,NoDenoising,all,0.76097
s4,left,NoDenoising,13,0.70173
s4,left,NoDenoising,15,0.7745
s4,left,NoDenoising,17,0.802608
s5,left,NoDenoising,all,0.74359
s5,left,NoDenoising,13,0.702703
s5,left,NoDenoising,15,0.761852
s5,left,NoDenoising,17,0.734322
s6,left,NoDenoising,all,0.776378
s6,left,NoDenoising,13,0.776839
s6,left,NoDenoising,15,0.790486
s6,left,NoDenoising,17,0.741323
s7,left,NoDenoising,all,0.776837
s7,left,NoDenoising,13,0.729049
s7,left,NoDenoising,15,0.784518
s7,left,NoDenoising,17,0.807716
s8,left,NoDenoising,all,0.718911
s8,left,NoDenoising,13,0.691744
s8,left,NoDenoising,15,0.731106
s8,left,NoDenoising,17,0.71846
s9,left,NoDenoising,all,0.738323
s9,left,NoDenoising,13,0.698078
s9,left,NoDenoising,15,0.744599
s9,left,NoDenoising,17,0.759011
